Match ID,Innings,Over,runs_in_over,wickets_in_over,balls_in_over,target_score,cum_runs_before_over,cum_wickets_before_over,cum_balls_before_over,overs_completed_before,balls_remaining_before_over,run_rate_so_far,runs_remaining,overs_remaining,req_run_rate,runs_last_over,runs_last_3_overs,wickets_last_3_overs,danger_over
336002,2,17,14,0,6,166,123,4,96,16,24,7.6875,43,3,14.333333333333334,17.0,35.0,1.0,1
336002,2,18,13,1,6,166,137,4,102,17,18,8.058823529411764,29,2,14.5,14.0,34.0,1.0,1
336002,2,19,21,0,6,166,150,5,108,18,12,8.333333333333334,16,1,16.0,13.0,44.0,2.0,1
336014,1,1,6,1,6,205,0,0,0,0,120,0.0,205,19,10.789473684210526,0.0,0.0,0.0,1
336014,1,2,2,0,6,205,6,1,6,1,114,6.0,199,18,11.055555555555555,6.0,6.0,1.0,0
336014,1,3,11,0,6,205,8,1,12,2,108,4.0,197,17,11.588235294117647,2.0,8.0,1.0,0
336014,1,4,9,0,6,205,19,1,18,3,102,6.333333333333333,186,16,11.625,11.0,19.0,1.0,0
336014,1,5,5,0,6,205,28,1,24,4,96,7.0,177,15,11.8,9.0,22.0,0.0,0
336014,1,6,10,0,6,205,33,1,30,5,90,6.6,172,14,12.285714285714286,5.0,25.0,0.0,0
336014,1,7,5,0,6,205,43,1,36,6,84,7.166666666666667,162,13,12.461538461538462,10.0,24.0,0.0,0
336014,1,8,10,0,6,205,48,1,42,7,78,6.857142857142857,157,12,13.083333333333334,5.0,20.0,0.0,0
336014,1,9,5,0,6,205,58,1,48,8,72,7.25,147,11,13.363636363636363,10.0,25.0,0.0,0
336014,1,10,10,0,6,205,63,1,54,9,66,7.0,142,10,14.2,5.0,20.0,0.0,0
336014,1,11,3,1,6,205,73,1,60,10,60,7.3,132,9,14.666666666666666,10.0,25.0,0.0,1
336014,1,12,7,0,6,205,76,2,66,11,54,6.909090909090909,129,8,16.125,3.0,18.0,1.0,0
336014,1,13,6,0,6,205,83,2,72,12,48,6.916666666666667,122,7,17.428571428571427,7.0,20.0,1.0,0
336014,1,14,19,0,6,205,89,2,78,13,42,6.846153846153846,116,6,19.333333333333332,6.0,16.0,1.0,1
336014,1,15,10,0,6,205,108,2,84,14,36,7.714285714285714,97,5,19.4,19.0,32.0,0.0,0
336014,1,16,18,0,6,205,118,2,90,15,30,7.866666666666666,87,4,21.75,10.0,35.0,0.0,1
336014,1,17,19,0,6,205,136,2,96,16,24,8.5,69,3,23.0,18.0,47.0,0.0,1
336014,1,18,20,0,6,205,155,2,102,17,18,9.117647058823529,50,2,25.0,19.0,47.0,0.0,1
336014,1,19,10,1,6,205,175,2,108,18,12,9.722222222222221,30,1,30.0,20.0,57.0,0.0,1
336014,1,20,19,1,6,205,185,3,114,19,6,9.736842105263158,20,0,0.0,10.0,49.0,1.0,1
336014,2,1,5,0,6,205,0,0,0,0,120,0.0,205,19,10.789473684210526,0.0,0.0,0.0,0
336014,2,2,6,0,6,205,5,0,6,1,114,5.0,200,18,11.11111111111111,5.0,5.0,0.0,0
336014,2,3,6,1,6,205,11,0,12,2,108,5.5,194,17,11.411764705882353,6.0,11.0,0.0,1
336014,2,4,10,0,6,205,17,1,18,3,102,5.666666666666667,188,16,11.75,6.0,17.0,1.0,0
336014,2,5,14,1,6,205,27,1,24,4,96,6.75,178,15,11.866666666666667,10.0,22.0,1.0,1
336014,2,6,14,1,6,205,41,2,30,5,90,8.2,164,14,11.714285714285714,14.0,30.0,2.0,1
336014,2,7,3,0,6,205,55,3,36,6,84,9.166666666666666,150,13,11.538461538461538,14.0,38.0,2.0,0
336014,2,8,5,0,6,205,58,3,42,7,78,8.285714285714286,147,12,12.25,3.0,31.0,2.0,0
336014,2,9,7,1,6,205,63,3,48,8,72,7.875,142,11,12.909090909090908,5.0,22.0,1.0,1
336014,2,10,4,0,6,205,70,4,54,9,66,7.777777777777778,135,10,13.5,7.0,15.0,1.0,0
336014,2,11,12,0,6,205,74,4,60,10,60,7.4,131,9,14.555555555555555,4.0,16.0,1.0,1
336014,2,12,5,0,6,205,86,4,66,11,54,7.818181818181818,119,8,14.875,12.0,23.0,1.0,0
336014,2,13,8,1,6,205,91,4,72,12,48,7.583333333333333,114,7,16.285714285714285,5.0,21.0,0.0,1
336014,2,14,22,0,6,205,99,5,78,13,42,7.615384615384615,106,6,17.666666666666668,8.0,25.0,1.0,1
336014,2,15,4,1,6,205,121,5,84,14,36,8.642857142857142,84,5,16.8,22.0,35.0,1.0,1
336014,2,16,12,0,6,205,125,6,90,15,30,8.333333333333334,80,4,20.0,4.0,34.0,2.0,1
